80.119.195.142,1.20.133.251
100.99.185.195,1.2.98.90
156.7.152.117,1.244.119.169
215.235.35.116,1.13.81.184
210.89.88.45,1.30.133.245
194.153.230.97,1.122.83.190
128.17.156.113,1.147.231.41
163.22.201.203,1.129.179.146
57.196.151.204,1.176.25.81
165.167.74.236,1.247.53.200
141.81.140.216,1.101.244.167
221.168.229.32,1.68.253.189
209.98.79.168,1.219.74.183
204.28.64.226,1.193.48.102
188.17.157.161,1.67.116.4
143.193.209.187,1.124.40.166
211.203.8.73,1.107.139.230
73.39.10.232,1.55.192.37
181.161.17.190,1.191.90.153
29.150.96.57,1.148.34.18
13.103.13.218,1.51.136.140
124.20.79.223,1.13.190.90
255.206.79.195,1.236.120.251
8.88.185.45,1.165.100.133
190.154.241.217,1.241.124.147
217.53.138.247,1.133.101.205
197.92.202.108,1.173.149.159
92.29.178.145,1.135.215.231
145.123.249.103,1.199.40.27
234.200.49.159,1.148.136.29
23.59.185.4,1.201.224.241
11.193.159.4,1.233.102.35
41.38.121.21,1.118.212.80
26.8.193.31,1.7.177.50
89.84.27.182,1.11.74.244
163.13.141.159,1.21.242.129
216.207.69.35,1.195.8.227
243.139.167.134,1.126.151.13
7.238.196.64,1.184.202.15
70.29.183.198,1.23.0.178
1.158.183.60,1.17.255.87
13.205.161.116,1.128.233.213
87.156.242.104,1.111.240.156
179.21.87.91,1.146.128.194
16.198.152.66,1.196.132.223
53.1.159.44,1.22.61.24
165.136.220.86,1.41.92.190
251.242.113.6,1.17.86.72
234.110.166.20,1.101.4.8
167.35.75.132,1.155.93.94
197.138.49.93,1.99.92.201
20.66.196.231,1.244.144.120
240.109.235.248,1.29.222.253
53.55.55.187,1.185.196.146
23.57.153.131,1.70.189.91
228.164.77.26,1.4.48.133
179.120.131.106,1.7.35.118
40.50.119.133,1.4.200.103
159.68.21.210,1.60.68.248
50.143.185.146,1.81.185.200
165.229.162.143,1.151.223.242
44.173.182.7,1.122.214.42
1.127.132.4,1.125.0.123
99.189.207.56,1.185.253.52
81.12.126.187,1.26.160.231
13.63.237.33,1.207.89.18
55.228.233.128,1.80.248.215
75.118.164.123,1.144.109.8
247.198.157.171,1.5.63.124
204.127.253.121,1.179.233.122
135.162.89.163,1.197.127.39
249.98.228.136,1.2.134.154
231.189.99.161,1.180.133.9
227.105.223.108,1.14.120.61
18.49.124.136,1.120.144.177
70.200.204.225,1.176.147.152
139.84.80.124,1.64.207.250
203.55.96.241,1.19.179.86
17.142.205.173,1.191.200.133
168.97.41.247,1.243.37.172
144.22.251.190,1.14.149.151
0.184.235.52,1.108.243.199
129.147.207.128,1.237.213.2
95.37.97.201,1.78.142.253
177.59.101.1,1.201.178.141
75.165.183.239,1.122.40.151
60.4.7.241,1.244.161.66
43.102.88.195,1.89.44.215
239.164.55.77,1.210.188.53
110.239.202.245,1.223.127.250
178.23.67.17,1.254.58.206
122.236.142.133,1.213.6.27
37.44.252.13,1.128.73.34
173.130.246.148,1.240.133.101
189.44.132.239,1.29.246.209
170.91.103.100,1.172.46.151
68.181.62.220,1.106.229.219
228.156.233.247,1.35.226.219
159.245.209.66,1.51.2.79
216.50.194.246,1.192.85.125
87.49.66.7,1.210.177.209
12.184.175.76,1.220.241.234
242.161.10.56,1.82.144.166
16.237.86.209,1.13.100.31
219.229.17.52,1.42.178.155
151.201.194.149,1.243.111.97
115.31.16.126,1.68.29.83
159.193.107.91,1.135.39.246
194.255.223.144,1.14.78.115
221.175.42.86,1.133.139.73
177.108.119.141,1.40.249.89
95.78.129.119,1.4.214.147
242.249.123.161,1.39.211.240
107.21.61.229,1.225.202.51
46.116.90.26,1.49.15.240
26.190.216.14,1.167.148.3
69.196.47.21,1.4.251.245
221.198.163.50,1.76.127.31
46.114.157.82,1.111.112.15
226.78.17.125,1.178.177.155
215.239.221.142,1.57.116.200
231.141.131.170,1.8.140.236
93.212.57.88,1.137.241.184
209.123.211.23,1.55.197.57
81.99.22.212,1.44.85.234
196.90.161.229,1.126.144.158
123.89.91.188,1.28.125.229
210.49.71.179,1.184.171.243
121.207.163.157,1.58.255.96
11.2.245.94,1.163.39.151
132.160.90.103,1.62.109.59
208.111.62.132,1.215.73.234
96.174.9.142,1.60.11.253
243.103.161.18,1.55.133.81
3.163.23.117,1.249.162.222
152.15.93.201,1.87.136.154
192.25.18.206,1.10.241.139
16.47.120.155,1.59.77.66
131.121.65.173,1.60.103.88
241.210.47.34,1.26.52.255
13.130.160.228,1.81.111.128
110.115.171.41,1.100.136.30
212.225.40.46,1.69.150.39
42.111.248.219,1.196.157.165
177.79.212.217,1.79.91.87
84.45.223.86,1.114.151.53
97.193.111.111,1.236.51.187
19.33.131.138,1.195.207.55
184.248.67.112,1.51.90.82
61.141.50.71,1.73.165.105
253.54.9.90,1.65.104.63
137.82.70.146,1.221.145.121
85.202.51.227,1.40.43.229
231.149.136.128,1.109.5.15
109.126.84.140,1.21.130.10
30.68.236.129,1.17.150.213
29.102.157.165,1.247.95.247
58.189.239.222,1.109.231.44
91.45.0.93,1.62.113.48
76.55.105.209,1.130.43.255
69.255.245.148,1.110.105.199
48.199.243.139,1.57.244.202
27.157.251.110,1.74.145.67
210.200.69.168,1.106.34.21
70.134.128.254,1.197.186.97
144.76.19.91,1.174.51.62
167.196.36.153,1.25.61.223
186.196.52.63,1.219.193.83
229.214.226.89,1.23.104.234
232.86.109.254,1.39.172.255
241.196.223.243,1.254.36.145
158.54.255.166,1.203.46.5
58.188.42.251,1.18.60.47
144.111.63.165,1.19.175.180
170.53.77.10,1.189.45.14
143.142.246.141,1.155.52.101
223.176.224.13,1.9.176.219
235.125.66.198,1.99.11.58
251.18.214.61,1.67.135.96
14.45.175.27,1.160.160.73
73.19.19.202,1.98.94.244
227.237.27.63,1.210.12.19
21.237.115.69,1.94.62.60
231.197.157.42,1.51.214.163
143.144.114.59,1.231.135.195
209.113.83.98,1.250.202.78
218.128.195.143,1.170.73.176
254.165.131.224,1.136.94.212
116.59.96.244,1.220.54.210
57.253.227.169,1.220.240.62
251.61.88.26,1.11.8.252
3.73.148.130,1.221.114.70
120.184.182.76,1.151.200.87
42.192.168.223,1.18.200.2
23.25.244.160,1.139.199.137
161.185.19.242,1.78.137.227
76.46.51.28,1.9.1.0
212.81.232.14,1.134.193.218
24.54.127.119,1.240.70.198
53.232.217.70,1.32.138.131
119.254.113.0,1.144.103.75
0.111.198.14,1.177.9.60
58.196.31.85,1.39.19.161
134.147.90.241,1.2.181.47
162.141.164.14,1.106.178.237
229.203.213.221,1.233.184.84
213.113.174.247,1.88.30.185
122.153.185.246,1.193.239.179
13.127.189.156,1.204.159.221
215.51.111.100,1.46.54.216
66.23.48.24,1.244.61.14
136.127.121.251,1.185.113.177
97.84.101.250,1.51.211.140
224.13.145.30,1.44.218.62
54.211.32.200,1.4.234.189
146.34.39.47,1.28.6.177
119.82.170.24,1.100.143.139
88.193.124.7,1.202.40.192
31.165.244.29,1.172.29.47
140.233.13.151,1.221.46.37
227.169.2.19,1.70.205.114
107.14.86.212,1.178.20.222
109.49.25.236,1.169.160.40
245.133.175.228,1.171.7.159
29.226.127.245,1.58.255.148
88.215.126.252,1.250.151.133
75.211.23.123,1.167.20.112
150.77.101.95,1.246.206.238
48.43.226.231,1.233.38.216
72.31.40.12,1.64.118.166
242.43.225.27,1.83.98.162
237.7.150.0,1.206.245.228
203.194.249.41,1.207.2.200
91.174.53.240,1.230.177.52
248.230.212.249,1.127.54.66
226.240.181.223,1.134.172.220
237.245.231.176,1.246.214.131
133.69.156.91,1.127.186.9
9.207.158.179,1.204.39.58
157.109.44.96,1.77.127.200
78.238.210.213,1.9.229.209
219.186.87.37,1.105.143.24
38.172.124.83,1.17.45.232
49.149.143.148,1.137.151.119
11.114.207.82,1.173.85.47
18.74.184.230,1.31.121.175
226.97.72.15,1.252.139.58
234.30.34.248,1.148.229.122
158.50.199.59,1.61.116.164
227.231.25.45,1.215.205.89
172.230.35.15,1.25.117.4
24.52.227.95,1.195.48.233
61.44.224.82,1.110.210.210
